	questionText	intent	answerText
499	I have attention-deficit/hyperactivity disorder, posttraumatic stress disorder, anxiety, anger, and memory problems. I can't work. I have no income. I'm on medicine, but I feel worthless. I want to be normal.	anxiety	I am so sorry to hear that you are struggling.  It sounds like you've had a traumatic experience that has impacted your life in many ways.  Without knowing much about your history, I wonder if the trauma you suffered has lead to the anxiety, anger, and memory problems you are dealing with, in addition to PTSD.  I would encourage you to look for a trauma therapist who offers a sliding scale or pro bono services.  There may also be community mental health services in your area that offer free therapy if you are eligible for grant.
503	I had to put a restraining order against my ex-fiancé. He was served last night. He was mentally and verbally abusive towards me. I thought it was my nerves, but every time I stand up, I get sick. If I sit and rock, I'm fine.	anxiety	Hello, and thank you for your question. You may be right, your physical symptoms of getting sick to your stomach may very well be your nerves or anxiety. That is totally normal and understandable given your circumstances. Another thing that is not unusual is that you feel better when you sit and rock. That is actually a fairly common way that many people comfort themselves in times of high stress. If you are concerned that there is an actual physical illness causing these symptoms, you may want to visit your primary care provider. They may tell you that they don't see anything physically wrong with you, and at that point you may want to visit a counselor about the symptoms and your relationship experience. A visit with a counselor may be a good idea either way. I work as a counselor in primary care, and I promise you that many people have very real physical symptoms when they have gone through abuse. Unexplainable stomach and headaches are very common. Sometimes, with counseling, those physical symptoms actually stop. Be well, and I hope you feel better soon.Robin J. Landwehr, DBH, LPCC, NCC
514	I was in a car accident and totaled my car. I gave up my job of nine years to pursue school full-time to better myself. I failed a class, and my boyfriend that I live with thinks I’m stupid and wants to break up with me. I have nowhere to go, and I feel like I’m losing everything.	anxiety	When we feel overwhelmed by life situations, it is important to understand where the feeling is coming from.  Once we understand the source, it is important to normalize the situations that got us there and find balance in our lives.First, car accidents are common, and since they are accidents they are not a reflection of us.   When we have an accident we feel anxious, worried, and may have some trauma after the accidents.  If you have been experiencing anxiety since the car accident, talk to your doctor or therapist about it.  Second, a lot of people fail classes, tasks, deadlines, etc. but they don’t give up on their goal.  We have to remember that failing is part of the learning process, and having the courage to try again is what gives us determination and character.  Remind yourself what motivated you to leave your job, and the courage and determination that took to do so, then channel that energy back into school.  Third, when we have problems in our relationships, is helpful to look for ways to improve communication, discuss our concerns and how we want to resolve them, but it may be that the relationship needs to end if there isn’t enough interest in one of the parts or if there’s verbal or emotional abuse.  Consider talking to your boyfriend and set some boundaries regarding appropriate communication.At all times:  focus on being kind to yourself and improving your self-esteem: increase self-care activities, do more things that you enjoy, meditate in what gives you peace and make an effort to have more of that in your life.   At the end, you are the one in control of your life, and you determine who you become.¿Qué puedo hacer cuando siento que mi vida está fuera de control?Estuve en un accidente de auto, y fue pérdida total.  Deje mi trabajo de 9 años para completar un grado a tiempo completo.  Falle una clase, y mi novio piensa que soy estúpida, el quiere dejarme.  No tengo a donde ir y siento que lo estoy perdiendo todo.Cuando nos sentimos agobiados es importante reconocer donde estamos parados y entender de donde vienen esas emociones.  Ya que entendemos la fuente de agobio, es importante normalizar las situaciones que lo causaron, y volver a encontrar el balance en nuestra vida.Primero, los accidentes de auto son comunes, y por ser accidentes no son un reflejo de nosotros o nuestras destrezas.  Cuando experimentamos accidentes no s sentimos ansiosos, preocupados, y puede que experimentemos algún trauma.  Si sientes ansiedad, extrema preocupación habla con tu doctor o terapista al respecto.  Segundo, muchas personas fallan clases, tareas, fechas de entrega, pero no se rinden.  Tenemos que recordar que fallar es parte del proceso de aprendizaje, y tener el valor de intentarlo de nuevo, es lo que nos da determinación y carácter.   Recuerda que te impulsó a dejar tu trabajo y canaliza esa energía en la escuela.  Tercero,  cuando tenemos problemas en las relaciones, es importante comunicar nuestras preocupaciones y diferencias, pero puede ser que la relación termine si no hay interés mutuo o si hay algún tipo de abuso.   Considera hablar con tu novio y establecer límites respecto a la comunicación apropiada.En todo momento: enfócate en cuidarte a ti misma y mejorar tu autoestima, aumenta las actividades que te ayudan a sentirte bien, medita sobre lo que te paz y pasa más tiempo practicando esas actividades.
515	It's especially bad at night time. I am scared of sleeping alone.	anxiety	Being able to know you feel anxiety and write about it, is the first step to addressing and handling it!Generally, anxiety is deep fear of not being able to handle what comes up in life.  Somehow the person was insufficiently nurtured and so felt  insecure when very young.Usually the person had to fend on at least a psychological and emotional level for themselves before reaching an age when doing so would have been reasonable.Their inner feeling of overwhelmed from when very young, hasn't faced the reality that the grown person is now capable, even if this takes some practice. Try asking yourself what you are afraid of and theorize how you would handle these situations as a grown person.Also, sometimes anxiety comes from feeling lonely.  This loneliness is reminiscent of the loneliness that the grown person now, felt when being left to take care of situations as a child which were too difficult and complex for any child to address.
518	I'm socially awkward. I've always want to be popular. I've had the opportunity to be popular, but every time I get i,t I'm too scared. All I have to do is talk the popular people. They're really nice to me, but I'm too scared of change. I really want to work up the courage to lose my fear.	anxiety	Change can be uncomfortable, but sometimes those uncomfortable moments are the opportunity for us to be the person we feel we really are.  It sounds like you like to spend the time in your head anticipating the worst, why not be in the present and encourage yourself that you can talk to people and it will be okay.  By telling yourself it will not be okay, or that it will go wrong you are hurting your confidence to do what you want.  Give yourself some credit for being awesome and tell yourself you can build new friendships...it may be the motivation you need to move past this fear.
519	I often get the feeling that I'm being watched, like video cameras are hidden wherever I am, even at home. I feel like people can see all that I do and are reading my thoughts. Things I read or hear on the radio seem to be about (or meant for) me, and people are talking about me when they whisper.	anxiety	It sounds like you are feeling pretty overwhelmed with worry about being continuously monitored, with no privacy even in your own mind, and as if people are constantly saying things about you in whispers on in the media. It's hard to say from a post online what is at the root of this experience, but you may be able to get insight into that, as well as develop ways of coping with the distress of feeling this way, with the help of a good therapist. There is no pill or technique that can guarantee that this experience will go away, though it might, however, there are things that you can do so that you can understand it better and so that it does not have such an impact on your ability to lead a satisfy life.
520	I have a bad habit of thinking and worrying about what others may think of me. I really want to stop it and enjoy things.	anxiety	Thinking about what others think of us is a natural tendency. Human beings are social creatures and rely on feedback from the outside world of people, places, and things to let us know more about ourselves. We also have an inner voice, dialogue, conscience, etc. that helps us to determine the path for us. Often, when someone is worried about the external feedback, and focuses on this as the sole source of information, it can create a dependency that can become problematic. Balance is key to so many things in life. Your own voice is powerful and has strength to provide you the enjoyment you seek. Don't discount it and rely only on the voices of others.
523	I have been having a lot of nightmares where I am being killed in different ways. I either wake up in a panic or just crying and sweating. It has made me terrified of falling asleep and is now affecting my daily life too. Can I make the nightmares stop?	anxiety	"Hello, and thank you for your question. Sleep problems, including insomnia and even the nightmares that you are writing about, are really common for people and so many people suffer from them. Here are a few things to consider or to try: 1. Have you changed or started taking any new medication lately? Medications can certainly affect your sleep and some can even cause vivid or frightening dreams. If you are taking a new medication, talk to your provider about the nightmares, this may be the cause. 2. Stress can certainly increase our difficulty with sleep and can also begin to affect our dream states. The dreams may not make much sense, but then again even good dreams don't always make much sense. Ask yourself, do I have any new or renewed stressors in my life? Work, school, relationships, health.... all of these areas and many more are places where stress can hide out. If this is the case, talk with your provider or consider seeing a counselor who may be able to help. 3. Something to consider is that once we start to have anxiety or stress about something, we can begin to obsess about it. My guess is that going to bed for sleep is no longer a pleasant thing for you. Your stress and fear of what may happen when you sleep could start way before you actually go to bed. This could increase your chances of having another bad dream. Try relaxation techniques before going to bed. If you have YouTube, you can pull up ""Guided Meditation for Sleep"" exercises to help you relax. There are many different ones to choose from. You may also want to try deep breathing.4. There are self-help ideas for managing bad nightmares. If you Google search ""Nightmare Rescripting"" or ""Nightmare Exposure"" you may find some ideas and instructions on how to manage dreams. I hope these ideas help. Be well... Robin J. Landwehr, DBH, LPC, NCC"
526	I'm concerned about my boyfriend. I suffer from anxiety, but I always have this feeling he wants to hurt me because he told me he was interested in BDSM intercourse. We haven't tried it, but I've had this feeling he always wants to.	anxiety	"Hello! Thank you for your question. There are few things
that people find more personal than their sexual relationships. When we feel
connected to our partner, sex can be best thing since sliced bread. However, if
we feel disconnected in some way, sex can feel degrading and even painful. 
I don’t know the specifics about your relationship or how
comfortable you are in talking to your boyfriend, but this is one of those
situations where communicating your fears is a good idea. The only exception to
that would be if you believe he is actually a threat to you in some way. If you
believe that, then you should do whatever you think is safe. It sounds like
there is a part of you that is already afraid of him, and if that is the case
then remaining safe is your top priority. 
Assuming you are able to share with him your feelings,
telling him what you are and are not interested in sexually is very appropriate
and sexually healthy. Sex is something that is supposed to be enjoyable for
all parties. All parties should feel respected and able to say “no” to
absolutely anything they are not comfortable with. 
I call the respectful agreement between sexual partners, “sex
trust.” Sex Trust means your partner respects your boundaries. It means they
won’t degrade you sexually with hurtful words, forced sex, or forcing or
coercing sex in ways someone is not interested in having.  Your personal safety and mental well-being is
what is most important. 
Now, if there is a part of you that is curious about BDSM
and may be interested in participating in it, there are many websites that you
can explore to learn information. I will warn you, some websites and articles
are better or worse than others, but you may at least feel more informed. 
Many people engage in BDSM and have happy relationships, but
again, it completely depends on what each person in the relationship wants. It is
also important to know that BDSM is not just one thing and people practice it
differently based on comfort. If it is something you are uncomfortable with,
then you shouldn’t feel obligated to do it.
 
I hope this was helpful. Be well.
 
Robin J. Landwehr, DBH, LPC, NCC"
535	I am a teenage girl. I've been seeing the same dream once in a while since I was very young. The problem is that I don't remember anything about this dream. I still know that it's the same one, and then I wake up in a panic, and I cry really loud without knowing the reason. Why do I see the same dream, why can I not remember it, and what should I do to remember it?	anxiety	There is no scientifically established formula for understanding dreams, that I know about, however, many people get a great deal of value from exploring what their dreams mean. It is believed by many that our dreams contain metaphors that represent meaningful patterns in our lives and relationships and if we pay attention to them we can learn important things about ourselves. One thing you might try, to see if you can get more insight into the dream and possibly begin remembering things, is to take note of whatever you do remember, any details about your experience, such as when do you wake up from the dream, how do you feel, both emotionally and physically, what are you thinking about when you wake up, is there any pattern in terms of what happens to you in your waking life around the time you have this dream... If you can keep a journal or a recording device to speak into by your bed, you can try to record whatever you do remember and notice as soon as you wake up. People seem to have more difficulty remembering dreams, the more time they let go by before attempting to record the dream, or if you go back to sleep before recording what you remember.
536	I’ve been with my boyfriend for a year and a half. He loves me a lot, and I love him. It hurts to be apart from him for so long. It hurts all over, and then I feel like it won't last.	anxiety	I would suggest that you look up the word codependency and it's characteristics.  See if you relate to those characteristics.  I have a feeling  you have suffered some form of loss in your life that you have not dealt with properly.  For some reason you are depending on your boyfriend to fill that loss.  Considering working with a counseling to work through your emotions and resolve any lingering issues.
537	I started seeing this guy that I met at a mutual friend’s place. He recently broke up with his ex-girlfriend and started seeing me. Everything was great in the beginning, then I started having low self-esteem thoughts and thinking he was hanging with his ex-girlfriend again. It’s all I think about. I am still seeing him, but things have changed because I am at a loss for words. I get stuck in my own thoughts. I like and care for him a lot. He just makes me nervous and gives me the butterflies.	anxiety	Sounds like you are struggling with your own negative thoughts.  As you stated, everything was great then you started having low self-esteem thoughts and thinking.  What is contributing to these negative thoughts?  His actions or your past experiences with unhealthy relationships would be my question..
538	I have not had a friend since I was 19. I don't go anywhere, and I have no job, all because I'm afraid of people.	anxiety	Individual and/or group therapy can be a powerful antidote for social anxiety. Often in therapy, the things that tend to get in the way of our securing satisfying and lasting personal relationships will appear in some way in the therapy relationship and a competent therapist will be able to help you work through this anxiety, in a sensitive way, and eventually encourage you to seek out the personal relationships that you want. In group therapy, you have an opportunity to have a relationship not only with the therapist, but several other people who are all in the group in order to give and receive mutual support to one another.
545	I'm a little paranoid. My mind does get the best of me. One night, I put chairs under all of my door knobs because I thought someone might break in. I also think a lot, which is probably the reason for the paranoia. I can't stand loud noises, like the sound of cars going by. The grocery store is too noisy, and I feel like people are looking at me.	anxiety	"Paranoid people don't realize they are paranoid.  They believe their actions to be reasonable responses to potential threats.From what you write, you are aware that your actions may be understood as extreme.Instead of trying to fit your behavior into a negative psychological category, try seeing each of the behaviors you list here, as your own uniqueness.This way you will become more tolerant of what very well be your natural tendencies.If you are someone who needs a lot of time in quiet, then not liking loud noises doesn't make you paranoid, it is simply the way of who you are.One possible way of feeling better is if you would accept the answers you've developed so far for yourself.  They may be a little unusual compared to what we consider mainstream.  From what you describe, you already are dealing with what you call ""paranoia""."
546	When I go to school, I feel like everyone is judging me, even my friends. I get overwhelmed which these thoughts and sometimes cannot get out of what I call a deep hole of thoughts. I barely go to any of our school dances because of all of the people. Not even when I am completely alone do these thoughts go away. I still feel like people can see me and are judging me.	anxiety	It sounds like a couple of things are going on here; you are noticing yourself feeling judged by the people around you and that you are avoiding social activities and in addition to this you have intrusive thoughts that you are being judged, even when alone. It sounds like these thoughts are pretty distressing and you are wondering what is happening to you. Many people who come to therapy experience intrusive and distressing thoughts of various kinds, which often influence their behavior in ways that they may not like, such as leading them to isolate. In therapy, you may be able to gain insight into the nature of your distress as well as learn ways to cope and eventually alleviate this distress so that you can have satisfaction and security in your life and relationships.
547	Recently, I had a close call after delivering my second child (blood clot followed by internal bleeding and several blood transfusions). It was a close call. I am currently undergoing medical treatment because of the event, and I am constantly afraid the whole ordeal will happen again. I have never really had anxiety in the past, but I find now that it consumes my every day and night. With two beautiful children to raise, I am most terrified of not being able to raise and protect them.	anxiety	"Hi Meriden, it's natural that after a serious scare like that you would have some anxiety and fear. This fear is helpful to some extent, because it will assist you in taking care of yourself and not taking unnecessary risks with your health. You can say ""thanks very much"" to fear for trying to protect you, and then you can take steps to reduce it. Right now, fear is working overtime and stealing your quality of life. You can work to put it into perspective.I invite you to imagine that your job is to convince fear that you don't need it screaming in your ear constantly in order to be as safe as you can be. Imagine that fear is in front of you. It's saying ""hey, you need me! If I wasn't keeping you alert, you would be very ill"". Fear doesn't trust you to take care of yourself. What is the evidence you are caring for yourself and doing everything you can to prevent a recurrence? What is the evidence that this won't likely happen again (it was specifically connected to the stress of labour, right?). What is the evidence from your doctor that this is unlikely to recur? What is the evidence that you are healing? What is the evidence that you are very aware of the danger and will respond quickly if there is a recurrence? What is the evidence that worrying about it will hurt you, not help you? How many hours of your life do you want to hand over to fear?Fear is trying to keep you safe, but you can turn the volume down by talking to yourself about all these things. I wish you well."
548	I constantly have this urge to throw away all my stuff. It’s constantly on my mind and makes me feel anxious. I don’t sleep because I’m thinking about something I can get rid of. I don’t know why I do it. I started years ago when I lived with my dad then I stopped when I moved in with my mom. Years later, it has started again.	anxiety	"Since you wrote that you noticed a change in your throwing away urge when you changed with which parent you lived, would you feel that throwing away things is connected to wanting to be done with certain areas of influence with either parent?Play in your mind with the metaphor of ""throwing away"" and whatever associations you feel toward this.  Are you feeling alarmed or freed, by throwing away things?  I'm only suggesting these, not telling you that they apply necessarily.Anxiety comes up when people feel helpless to manage a meaningful part of their lives.  So pay attention whether your stuff represents difficult scenarios or phases of your growing up years.   Possibly you are trying to rid yourself of painful feelings which were part of your early years' relationship with either parent.Basically, sounds as though you are trying to establish a clearer sense of who you are and the throwing away part is a means of discovering who you are, once all the clutter is released."
549	I met a guy a while ago, and I can't stop thinking about him. I feel like I love him, but I don't think I know him. What if he is not who I think he is? I cry sometimes thinking someone is going to be with him or that he has a girlfriend. I don't know, am I too obsessive? Every time we talk though, it's like magic. He makes me feel amazing, but what if I'm mistaken?	anxiety	Keller, it sounds like you're living this relationship in your mind, instead of in the real world. You can get answers to your questions by talking to him...getting to know him will answer all the curiosities you have. You're asking the questions in your head instead of being in the friendship. So what is it that gets in the way of actually asking the questions and getting to know him? Fear of rejection? Fear of something else? If you have fear that keeps you from having fulfilling friendships, I recommend a therapist to help you work through that. I wish you well. :)
555	I was violently raped by another women who was my friend of 13 years. I’m having bad flashbacks. I’m scared to sleep because I see it in my dreams. I don't leave the house because I have panic attacks.	anxiety	I'm sorry for your suffering.There are therapy programs which help people to gradually feel more at ease so that daily living does not feel so frightening.Once you feel stronger and more secure from such a behavioral program, you'll be able to sleep more peacefully and leave the house whenever necessary to do your regular life.Then, you will be able to open and clear the deep emotional hurt that always occurs from being violated by a trusted friend.Sending good wishes in your work!
560	For my whole life, I’ve been very unconfident, insecure, and self-questioning. I'm super quiet because I'm scared of what people will think of me. I avoid all social situations as it causes me great anxiety. It is how both of my parents have always been, and I feel like I'm doomed to that life also. It makes it super hard for me at work as the other employees try to use me and walk all over me because I’m too nice. It causes me depression and brings me down. I’m in my early twenties, and I really need to create a better life for myself. I've been like this for so long, so how do I change?	anxiety	"One of the greatest ways that we can promote ourselves s by learning how to assert ourselves.  Despite what most people think of when they hear the word assertive, assertive communication is one of the best ways to manage interpersonal conflict as well as maintain personal boundaries.  Once we become comfortable with acknowledging our boundaries, there is usually a follow-up whereby we realize that we have the right to those boundaries.  In effect, assertiveness communication becomes it's own self-motivating force in managing positive self-esteem. You may want to invest in a workbook that can help you to develop these skills on your own, or work directly with a therapist to develop them in a safe situation.   One of the Workbooks that I have found to be very helpful is, ""The Assertiveness Workbook: How to Express your Ideas and Stand Up for Yourself at Work and in Relationships"" by Randy J Paterson."
566	I'm a teenager, and I struggle with going out and talking to people. I feel awful about leaving home. I know I can't afford a therapist so I don't know what my problem is, but I think I might have social anxiety.	anxiety	If you are noticing that anxiety tends to be triggered around interactions with others, then you may have social anxiety. Working with a therapist, you may be able to gain insight into the nature of the anxiety, develop tools for coping with it, and take steps that may alleviate it over time, so that you can enjoy your interactions with others. If you are short on money, there still may be options for you to be able to see a therapist. Check with your insurance provider about your behavioral health coverage. If you have medicaid/apple care, there are some private practice therapists who accept this form of insurance, as well as community clinics which do. If you are not insured, some therapists and clinics will work on a sliding fee scale, and accept either low fee or may even work with you pro-bono (for free).
572	I find myself being very outgoing most of the time, but there are some times when I don't know what to say. I don't even want to talk at all. It's like, I search for the right thing to say and nothing ever comes out. I don't know if I'm outgoing only to fill the void of not knowing what to say. I don’t know if people like that about me. I'm very self-conscious and always think people are talking about me, so it makes me have a cold shoulder and not want to talk.	anxiety	Would you feel more secure in conversations if instead of talking soon after meeting someone or entering a social situation, you simply listened attentively to the other people?This way you'd have a more secure idea of what topics the group likes talking about and whether you like talking about these topics as well.Maybe you simply are in groups or situations in which you don't care for the people or focus.Start by trusting your own evaluation of your true interest in being among the groups in which you are.Maybe you simply need new and different groups.
575	I feel like my time is going too fast	anxiety	"Thank you for reaching out! That is a great question! As an American, I can truly say that I spend way too much time on the go! It is a proven fact that Americans live in a fast paced environment compared to Europe! I often ask myself, what if I only had one day left on this Earth? What would I do? Well, that is an easy question. I would spend it with my family! Easier said than done when we are living in a tomorrow kind of World, right? Its hard to focus on the now when we are so consumed in what tomorrow shall bring.Time management is a very important factor when learning to ""live life to the fullest""! In fact, this is a required course in undergraduate college now. Everyone manages their time differently and it is up to you to decide how you would like to do this. Personally, for myself I like to keep a calendar with a to-do list. I always place my most important tasks at the top of the list. That way, if I do not get through the list, I am not stressing over the little things. When planning your day, it is important you schedule work, eat and play. A much as it is hard not to work after getting off work, it must be done. There is discipline involved in this process. If you have trouble with this, then maybe seeking out some accountability such as including a coworker to make sure you do not bring work home once your shift is over or your spouse/partner reminding you that this is a time for play and not work.These are just some ideas that I am throwing out there. Again, everyone has their own style on time management. I hope this was helpful for you. Please don't hesitate to reach out for anything further!"
576	My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He blatantly refuses to even try to see it from my angle.    Recently however, it's been getting to the point where I feel pressured and unable to speak my mind. It isn't possible for me to get professional one-on-one help. He tells me to grow a pair and get over it. I recently have been developing more severe body image and self-confidence issues, which I have had all my life. I feel invalidated by my dad. I have been more paranoid lately as well. I can't turn on location services anymore on my phone because of a past incident. He makes me feel guilty about it. I feel rather worthless more often than not, unfortunately. What do I do?	anxiety	I'm sorry to hear that you are unable to get through to your parents. It sounds like you are experiencing a great deal of anxiety that needs to be addressed by a professional (despite the fact that you are unable to at the moment). I would recommend talking with another adult such as a school counselor that can offer you support in this area. Perhaps they can work with you on your anxiety issues and schedule a meeting with your parents so that he/she may help mediate the conversation with them.If you are unable to reach out to a school counselor maybe you can try a member of the family such as an aunt or an uncle that feels comfortable addressing the issue with your parents. Sometimes it helps hearing it from a third party before the situations is taken seriously enough.Good luck!
577	Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving in with her since I get so anxious.	anxiety	I’m sorry to hear that you are currently experiencing panic attacks. I hope that the medication you have been prescribed has provided you with some relief. Unfortunately, I don’t feel that moving in with your girlfriend would alleviate your anxiety. Although you may feel very anxious about leaving her, your body is reacting to this stressful event in your life in an unhealthy manner. You may be able to render this particular situation but it’s likely that you may experience another panic attack when an additional stressful event arises. Therefore, it is essential that you address the reason for why you are experiencing panic attacks in the first place followed by practicing coping mechanisms in the case that one would arise in the future.Talk therapy has shown to be effective with those affected by anxiety along with breathing exercises and yoga. A trained therapist will be able to assist you in finding the right stress reducing method so that you can reduce the chance of another attack occurring.I wish you the best of luck! It sounds like you are very happy in your relationship and I hope you are able to reduce your anxiety so that you are able to enjoy one another.
578	I had a head injury a few years ago and my mind races all the time. I have trouble sleeping and have a lot of anxiety. Every medicine I have been on my body rejects; I get sick to my stomach and get blisters in my mouth. How can I calm my self down? I'm a wreck.	anxiety	"You didn't say what or how many medications you've tried. Certain anxiety medications can make you feel nauseous, but I haven't heard of any that cause mouth blisters, so there may be some other underlying medical issue there. I would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if you've suffered a severe head injury. There are so many medications available for anxiety or insomnia or even depression that there may be others with lesser side effects.But beyond that, have you tried any other treatments such as deep breathing or meditation? Meditation can be very effective, but it takes practice and you don't have to sit cross-legged for hours chanting ""Ohm"" to meditate. It's about focusing on your breath, rather than all the thoughts that are racing through your head. And when they do take your mind off your breath, simply refocus (and refocus and refocus). Like I said, it takes practice, so don't give up. You can find many sites offering different ways to meditate, so look around and see what works best for you. Like medication, you just have to find the one that works best and that might take some experimentation.I hope this helps and best of luck to you."
640	I am a counselor at day camp where we have a child with severe autism. We try to keep him entertained by carrying cards around for when he starts acting up so we can get him to focus on something else. The day camp administrator has told us not to yell at him because he will zone out and not listen, so we just talk in a calm voice. However, other kids see the treatment as unfair.	parenting	Behavioral interaction with someone who has severe autism requires highly specialized training, both for any professional staff involved with the person and for the family members.It is an unfair situation for both the person who has autism as well as the campers who do not, to expect both sides to get along harmoniously.In order to achieve this, the campers would need specialized training to know how to respond to distress in the camper who has autism.This would obviously stretch and burden the summer camp budget as well as provide an activity which usually isn't part of summer camp for children.What you can do which may be productive in helping the camper who has autism, is to point out the interaction difficulty to the summer administrators.Ultimately it is their problem to only take campers who are able to reasonably adjust to socializing together and from what you write, the administration has overreached whom they consider reasonable camper mates.
657	I was a single mom most of their growing up life and have guilt about trying to work three jobs and being gone a lot. My children are successful with their own business's, have lots of nanny and cleaning help, but I just feel they have such a great opportunity to spend it with their kids.	parenting	You seem to have been a very positive influence in your kids' lives.They may have worked so hard because they understood how difficult and tiring your life was as a single mom.I feel you are seeing your kids' lives through the measurement of how much toil was in your life as a single mom.In other words, what you see your kids overlooking or not appreciating, may remind you of your wishes during the many years you raised your kids.If it helps you and is possible, then maybe you could spend more of your own time tougher with your grandkids.  This may give some reward for the many years you spent working to support your kids and had no choice in the amount of time you had with your kids.As far as your kids relationship to their kids, it is now their turn to raise them as they wish, within ethical boundaries of course.Depending on the topics you and your kids talk about, consider to bring up your concern as to whether they feel their kids, your grandkids, are missing anything due to the limited time they have with the parents.
666	My step nephew, a preteen, has begun masturbating. I also had to take away the internet because he was caught looking up porn. I’m worried about him.	parenting	Your nephew's behavior sounds normal and developmentally appropriate.  Masturbation is a healthy expression of sexuality.  Most families to create some rules about where it's ok to masturbate-- for example, stating that it should be done in the privacy of the child's own room.  I'm wondering if you or another adult in his life have talked to him about his developing sexuality?  It seems like that would help him and you handle his increasing maturity.
667	We have tried gentle talking, counting to calm her and talking about it, sending her to her room and then trying to talk when she’s calmer, and now calisthenics. However, nothing is working.	parenting	There's two things this post relays - one, which I'm sure you've already looked into - is working with the school to address this problem. Sure, sometimes kids don't get along, but most schools look at bullying seriously, and this sounds serious. The other, though, is additional tools to consider to help your daughter. If you haven't already read Greene's Explosive Child, you might give it a shot. While it's a little preachy, many of the tools are wonderful and can help parents navigate tantrums. https://www.amazon.com/Explosive-Child-Understanding-Frustrated-Chronically/dp/0062270451 Another tool that can redirect a child that's losing it is a task. If her tantrums, say, involve throwing things, maybe she's in charge of throwing all the sticks and acorns off the driveway into the garbage bin. Ie: 'Hey Jenny, you seem really angry right now, let's use all that energy and get some work done!' Go with her, throw with her, even - if possible - making a game out of getting the acorns into the bin from a distance. I wish you all the best~
670	"My daughter was overly tired and throwing a fit at her grandparent's house. She wanted to come home at midnight and cried screamed said she said she hated her grandma and that she wanted to kill herself!
    We also have a new baby in the house i didn't know if this would contribute to this. How should I approach this?"	parenting	"You wrote a very full family context w many directions to examine.Do you know or can you find out what the grandma and your daughter were doing in the evening of the screaming episode?Is it possible the grandma abuses your daughter, or tells her scary stories, watches scary movies.  These are only suggestions of some problem between grandma and your daughter.Also, ask your daughter directly why she wants to kill herself and what' killing herself"" means.   Seven year olds don't have a concept of death being a forever condition.  Seven year olds don't have a sense of future meaning besides liking/disliking them.   Maybe the new baby is a factor.  Do you feel this is a factor?   Trust your intuition to tell you if your daughter is resentful of your new baby.Even if she is, I doubt a seven year old has the capacity to connect current unhappiness with the intention of a future action, including suicide."
671	The birth mother attempted suicide several times while pregnant. The adopted mother was terminally ill upon adopting the baby and died when the child was just over one year old. The adopted father then remarried to a physically, psychologically, and emotionally abusive woman. The child was placed in foster care at 11 years old.    What might be the long term effects on an adult with this childhood history?	parenting	"The true answer is, ""no one can really say with certainty"".The variables are the way this child absorbs and adjusts to these significant changes in their life.  All anyone can do is guess at this point and there's no good reason to guess.The only general certainty is that the adult whom this child becomes will have had a profound encounter with the biggest types of human losses a child can go through.Some people become great teachers, therapists and philosophers who have this background.  Some give up on life and hide away from others.The best anyone could do who knows this child is to offer love bc this is the greatest guarantee to show there are good people on this earth."
685	I have three children: a biological daughter, a stepdaughter, and a stepson. I found out my stepdaughter overdosed today. My daughter blames me. I told her to stay out of it. I'm scared of all three kids now. They all blame me for their choices they made. All three have drug addictions. I had a stroke in 2013 so I need to depend on people from now on.	parenting	Blaming others is one of our greatest coping mechanisms.  It is not just for addiction, and often we blame the ones closest to us.  You can not stop them from blaming you, you can stop yourself for taking on the burden.  We are all in charge of the choices we make.  No one makes us do something other than our self.  We choose how we internalize and react to situations.  I would find a good therapist who understands family dynamics and addiction to help you cope with your current environment and help you move forward.
686	"She refuses to talk to me and told my mom (her grand mother) that she is remembering things from the past. I don't know what to do. My daughter blames me and swears she hates me.
   My parents say I should just let my daughter live with her dad, but I don't see how I could fix things if I only see her every other weekend. What should I do?"	parenting	Sorry to hear about your high degree of stress.How old is your daughter?Who abused yours daughter?The answers make a difference to your decision.Obviously if the father was the abuser, then unless your ex demonstrates to you and you believe, he will not abuse her, your daughter should stay with you.If someone other than the father was the abuser and the father has a good relationship with your daughter, then it is possible that the time away from your household will give each of you time away from arguing with one another.What does your daughter tell you she wants?Her wishes must be considered too.Relationships can be fixed.   Sometimes being apart helps this process because the two people each have time to reflect more deeply on what they value about the other.
687	She's a teenager, and for the last two years, she's lived with her older brother. She's angry because she wants to come live with me, but my current living situation is not the best for her. She refuses to see any reason. She's being disrespectful. Her sexual curiosity is waking up.	parenting	You're her mom and she needs you.  I would suggest focusing on connection.  Since you are not currently living together, one way to do this would be to plan a date in which she gets to decide what you do together.  Give her time to think about what she wants to do.  As long as the activity is safe and affordable, try to do it, even if it's not your thing.  While you are with her, turn off the phone and give her your undivided attention.  The goal would be just for you to enjoy each other and connect.
